# IEA-22-280  tapered SG segment  r = 0.2 -> 0.3
# SHELL = OpenSG-TW JAX MITC-RM (OML reference)   |   SOLID = OpenSG-FEniCS 3-D
# Timoshenko 6x6, order [EA, GA2, GA3, GJ, EI2, EI3]   (units: N and N*m^2)
# %err_ij = 100*(shell-solid)/solid ; '.' = |solid| < 1e+06 (structurally zero)
#==============================================================================


#==============================================================================
### TAPER SEGMENT  (r = 0.2 -> 0.3, full 3-D)
#==============================================================================

-- SOLID  6x6 --
                   EA          GA2          GA3           GJ          EI2          EI3
  EA     2.6799e+10  -3.9711e+07   5.2169e+06   1.0339e+08   1.2060e+09  -6.2676e+10
  GA2   -3.9711e+07   6.9039e+08   3.1032e+07   1.0586e+07  -1.1691e+07   1.4293e+06
  GA3    5.2169e+06   3.1032e+07   2.9676e+08   5.9109e+08   5.8465e+07  -4.1210e+07
  GJ     1.0339e+08   1.0586e+07   5.9109e+08   3.0280e+09   6.5554e+08  -1.8327e+08
  EI2    1.2060e+09  -1.1691e+07   5.8465e+07   6.5554e+08   2.8802e+10  -6.7550e+09
  EI3   -6.2676e+10   1.4293e+06  -4.1210e+07  -1.8327e+08  -6.7550e+09   2.0427e+11

-- SHELL  6x6 --
                   EA          GA2          GA3           GJ          EI2          EI3
  EA     2.6864e+10   4.4985e+07   2.5123e+06   5.5350e+07   1.0361e+09  -6.2800e+10
  GA2    4.4985e+07   6.8195e+08   4.4834e+07   3.2248e+07   1.7875e+07  -2.2897e+08
  GA3    2.5123e+06   4.4834e+07   3.9591e+08   7.6263e+08   7.5147e+07  -3.8953e+07
  GJ     5.5350e+07   3.2248e+07   7.6263e+08   3.5293e+09   4.4818e+08  -5.6115e+07
  EI2    1.0361e+09   1.7875e+07   7.5147e+07   4.4818e+08   3.1117e+10  -6.5489e+09
  EI3   -6.2800e+10  -2.2897e+08  -3.8953e+07  -5.6115e+07  -6.5489e+09   2.0407e+11

-- %ERROR 6x6  (shell vs solid) --
                   EA          GA2          GA3           GJ          EI2          EI3
  EA          0.25%     -213.28%      -51.84%      -46.47%      -14.08%        0.20%
  GA2      -213.28%       -1.22%       44.48%      204.64%     -252.90%   -16119.09%
  GA3       -51.84%       44.48%       33.41%       29.02%       28.53%       -5.48%
  GJ        -46.47%      204.64%       29.02%       16.55%      -31.63%      -69.38%
  EI2       -14.08%     -252.90%       28.53%      -31.63%        8.04%       -3.05%
  EI3         0.20%   -16119.09%       -5.48%      -69.38%       -3.05%       -0.10%

-- DIAGONAL summary --
  EA +0.2%  GA2 -1.2%  GA3 +33.4%  GJ +16.6%  EI2 +8.0%  EI3 -0.1%

#==============================================================================
### BOUNDARY  L  (root ring, r = 0.2)
#==============================================================================

-- SOLID  6x6 --
                   EA          GA2          GA3           GJ          EI2          EI3
  EA     2.7005e+10  -8.3311e+07   4.8937e+06   6.5721e+07   1.3746e+09  -6.8345e+10
  GA2   -8.3311e+07   7.2199e+08   4.3009e+07   2.4987e+07  -2.8917e+07   2.4944e+08
